problem_id;num_customers;ce_custom_cost;ce_custom_routes;ce_custom_time_s;ce_custom_no_share_cost;ce_custom_no_share_cost_a;ce_custom_no_share_cost_b;ce_custom_no_share_time_s;ce_custom_economia;ce_custom_economia_pct;ce_c8_cost;ce_c8_routes;ce_c8_time_s;instance_time_s
ce_8001;10;592.34;3;8.9;698.48;0.0;0.0;7.3;106.14;15.2;592.34;3;8.4;24.6
ce_8002;10;442.97;2;6.75;498.27;0.0;0.0;7.17;55.3;11.1;442.97;2;9.23;23.16
ce_8003;10;537.33;2;9.92;563.53;0.0;0.0;7.84;26.2;4.65;537.33;2;8.74;26.5
ce_8004;10;505.07;2;10.06;565.53;0.0;0.0;7.5;60.46;10.69;505.07;2;8.67;26.23
ce_8005;10;449.84;2;8.61;527.42;0.0;0.0;6.93;77.58;14.71;449.84;2;8.99;24.54
ce_8006;15;696.88;3;17.68;755.18;0.0;0.0;11.72;58.3;7.72;696.88;3;15.64;45.05
ce_8007;15;549.88;2;17.07;672.59;0.0;0.0;11.65;122.71;18.24;549.88;2;16.31;45.03
ce_8008;15;576.65;2;18.29;627.58;0.0;0.0;10.99;50.93;8.12;576.65;2;16.22;45.5
ce_8009;15;550.86;2;11.56;594.01;0.0;0.0;10.04;43.15;7.26;550.86;2;15.61;37.22
ce_8010;15;561.39;2;12.49;577.79;0.0;0.0;10.03;16.4;2.84;561.39;2;16.33;38.85
ce_8011;20;753.38;3;26.2;826.47;0.0;0.0;15.46;73.09;8.84;720.81;4;24.0;65.67
ce_8012;20;609.45;2;33.14;678.27;0.0;0.0;18.46;68.82;10.15;609.45;2;26.38;77.99
ce_8013;20;631.52;2;32.88;700.25;0.0;0.0;19.23;68.73;9.82;631.52;2;28.68;80.79
ce_8014;20;553.33;2;33.94;657.78;0.0;0.0;21.03;104.45;15.88;553.33;2;29.43;84.4
ce_8015;20;567.02;2;32.87;679.76;0.0;0.0;21.5;112.74;16.59;564.62;2;26.79;81.16
ce_8016;25;1143.15;5;45.4;1242.62;0.0;0.0;22.19;99.47;8.0;1137.68;5;35.37;102.97
ce_8017;25;706.12;3;48.52;780.67;0.0;0.0;21.29;74.55;9.55;702.0;3;39.64;109.46
ce_8018;25;668.23;2;43.19;698.0;0.0;0.0;23.8;29.77;4.27;668.23;2;41.58;108.57
ce_8019;25;622.31;2;31.33;670.51;0.0;0.0;23.73;48.2;7.19;622.31;2;41.72;96.79
ce_8020;25;742.24;3;30.74;814.83;0.0;0.0;19.33;72.59;8.91;742.24;3;41.75;91.83
