problemId,numClientes,custo,tempoSegundos,clientesNasDuasTransportadoras
ce_10,20,455.73,44.67,0
ce_11,18,499.41,37.04,1
ce_12,20,756.48,49.95,1
ce_1,23,279.74,63.32,0
ce_2,29,338.91,101.61,2
ce_3,20,236.02,98.61,1
ce_4,23,322.3,85.71,0
ce_5,24,328.26,83.46,1
ce_6,21,236.33,54.53,0
ce_7,20,156.93,64.56,0
ce_8001,10,584.58,17.03,0
ce_8002,10,442.97,15.57,0
ce_8003,10,537.33,14.99,0
ce_8004,10,505.07,16.17,0
ce_8005,10,449.84,14.33,0
ce_8006,15,691.17,32.17,0
ce_8007,15,549.88,30.95,0
ce_8008,15,576.65,24.8,0
ce_8009,15,550.86,25.13,0
ce_8010,15,561.39,25.65,0
ce_8011,20,755.01,42.12,0
ce_8012,20,609.45,58.1,0
ce_8013,20,631.52,62.0,0
ce_8014,20,553.33,73.28,0
ce_8015,20,564.62,70.41,0
ce_8016,25,1137.8,75.79,1
ce_8017,25,683.98,63.97,1
ce_8018,25,668.23,74.65,0
ce_8019,25,622.31,74.85,0
ce_8020,25,742.24,60.83,0
ce_8021,30,1030.02,125.0,0
ce_8022,30,823.01,151.78,1
ce_8023,30,697.15,101.61,0
ce_8024,30,663.41,144.01,0
ce_8025,30,943.76,144.15,0
ce_8026,10,696.53,15.93,0
ce_8027,10,575.07,14.31,0
ce_8028,10,463.01,16.37,0
ce_8029,10,522.51,16.19,0
ce_8030,10,473.34,19.31,0
ce_8031,15,849.76,22.75,0
ce_8032,15,542.24,24.61,0
ce_8033,15,693.33,31.18,0
ce_8034,15,676.7,24.81,0
ce_8035,15,618.48,26.97,0
ce_8036,20,1174.17,38.15,1
ce_8037,20,575.36,55.99,1
ce_8038,20,886.74,47.15,0
ce_8039,20,760.64,47.87,0
ce_8040,20,759.1,46.29,0
ce_8041,25,858.09,59.67,0
ce_8042,25,938.28,55.08,1
ce_8043,25,926.63,50.29,0
ce_8044,25,889.63,61.04,1
ce_8045,25,891.55,66.95,1
ce_8046,30,1653.33,107.9,3
ce_8047,30,934.33,80.17,2
ce_8048,30,1140.7,146.07,1
ce_8049,30,916.07,158.62,0
ce_8050,30,1018.34,149.5,0
ce_8051,10,457.59,17.14,0
ce_8052,10,460.01,19.56,0
ce_8053,10,436.36,17.41,0
ce_8054,10,441.22,16.68,0
ce_8055,10,373.39,15.22,0
ce_8056,15,550.46,27.96,1
ce_8057,15,440.66,46.89,0
ce_8058,15,437.12,32.01,0
ce_8059,15,400.43,29.9,0
ce_8060,15,416.77,36.98,0
ce_8061,20,631.34,45.38,0
ce_8062,20,430.34,67.15,0
ce_8063,20,481.61,64.69,0
ce_8064,20,476.75,62.65,0
ce_8065,20,447.29,62.04,0
ce_8066,25,842.93,93.06,0
ce_8067,25,616.58,108.06,0
ce_8068,25,459.88,93.63,0
ce_8069,25,456.52,119.59,0
ce_8070,25,471.07,92.21,0
ce_8071,30,881.13,107.27,0
ce_8072,30,612.14,178.49,0
ce_8073,30,576.06,152.23,0
ce_8074,30,486.88,212.63,1
ce_8075,30,582.58,143.74,0
ce_8076,10,484.49,14.04,0
ce_8077,10,373.09,15.32,0
ce_8078,10,400.5,18.77,0
ce_8079,10,381.95,17.9,0
ce_8080,10,430.68,15.0,0
ce_8081,15,865.5,25.26,0
ce_8082,15,419.62,26.79,0
ce_8083,15,585.07,27.81,1
ce_8084,15,422.66,29.34,0
ce_8085,15,374.32,27.48,0
ce_8086,20,967.62,43.05,0
ce_8087,20,561.31,57.01,1
ce_8088,20,609.01,45.98,2
ce_8089,20,591.78,54.61,0
ce_8090,20,513.13,49.88,0
ce_8091,25,1013.3,98.23,2
ce_8092,25,718.0,76.97,1
ce_8093,25,836.51,96.43,0
ce_8094,25,820.9,80.64,0
ce_8095,25,715.22,92.91,0
ce_8096,30,1395.28,116.3,2
ce_8097,30,715.62,158.73,0
ce_8098,30,1018.26,160.5,0
ce_8099,30,745.87,160.33,0
ce_8100,30,863.59,146.14,3
ce_8,30,239.95,137.15,1
ce_9,20,392.06,48.15,0
